FULL Speed,No Speed,Command,Object,Symbol,Layer,Layer2,Layer3,Full-No,Full-No
0.00%,0%,TASK_RRC_GNB,[kernel.kallsyms],native_write_msr,RRC,,,0.00%,
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],native_apic_msr_write,SL,,,0.00%,
0.00%,0.01%,thread_FH,[kernel.kallsyms],native_apic_msr_write,PHY,LOW PHY,,,-0.01%
0.00%,0.00%,feprx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.00%,
0.00%,0.00%,thread_FH,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,
0.00%,0.00%,feptx,[kernel.kallsyms],intel_pmu_handle_irq,PHY,LOW PHY,,0.00%,
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],intel_pmu_handle_irq,NG,,,0.00%,
0.00%,0.00%,feptx,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.00%,
0.00%,0.01%,feprx,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,,-0.01%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],intel_bts_enable_local,RRC,,,0.00%,
0.00%,0.01%,pdcp_timer,[kernel.kallsyms],__perf_event_task_sched_in,PDCP,,,,-0.01%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],__perf_event_task_sched_in,SL,,,0.00%,
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],intel_bts_enable_local,SL,,,0.00%,
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],intel_bts_enable_local,NG,,,0.00%,
0.00%,0.00%,feptx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,0.00%,
0.00%,0.00%,feptx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,
0.00%,0%,RLC,queue,[k],RLC,,,0.00%,
0.00%,0%,TASK_GNB_APP,[kernel.kallsyms],_raw_spin_unlock,SL,,,0.00%,
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock,NG,,,0.00%,
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],x86_pmu_enable,NG,,,0.00%,
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_unlock,RRC,,,0.00%,
0.00%,0%,feprx,[kernel.kallsyms],intel_pmu_handle_irq,PHY,LOW PHY,,0.00%,
0.00%,0.04%,feptx,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,,-0.04%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],__indirect_thunk_start,PDCP,,,0.00%,
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],_raw_spin_unlock,PDCP,,,0.00%,
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],intel_pmu_handle_irq,PDCP,,,0.00%,
0.00%,0.00%,thread_FH,[kernel.kallsyms],intel_pmu_handle_irq,PHY,LOW PHY,,0.00%,
0.00%,0%,RLC,queue,[k],RLC,,,0.00%,
0.00%,0%,RLC,queue,[k],RLC,,,0.00%,
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],intel_pmu_handle_irq,SL,,,0.00%,
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],intel_pmu_handle_irq,RRC,,,0.00%,
0.00%,0%,TASK_RRC_GNB,[kernel.kallsyms],x86_pmu_enable,RRC,,,0.00%,
0.00%,0.01%,feprx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,,-0.01%
0.00%,0.00%,feprx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],intel_bts_enable_local,PDCP,,,0.00%,
0.00%,0.00%,thread_FH,[kernel.kallsyms],__perf_event_enable,PHY,LOW PHY,,0.00%,
